,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
796,a5xUI7TvsNhM5gZr6KowDg,"""Sesame Inn""",,"""711 Browns Ln""",Pittsburgh,PA,15237,40.546446483000004,-80.0190292792,3.5,93,1,restaurants
835,Z1etKi_kBsMr3oGolRrGaA,"""Sauce Pot""",,"""807 5th Ave""",Coraopolis,PA,15108,40.519850899999994,-80.1698834,4.5,4,1,restaurants
880,wG3GDD8ovrdWMURLGWePcA,"""Mr Waterheater Enterprises""",,"""1067 3rd St, Ste 1067""",North Versailles,PA,15137,40.376785999999996,-79.8079829,3.5,10,1,water heater installation/repair
902,8ISwdpgOEj6rznVvcWGXyA,"""Cenk Integrated Health & Spine Centers""",,"""107 Gamma Dr, Ste 100A""",Pittsburgh,PA,15238,40.4958991,-79.870652,4.0,4,1,medical centers
907,o8TpuB5PmdXXYQhG_SxmhQ,"""Grande Pizza""",,"""12120 Rte 30""",North Huntington,PA,15642,40.331790000000005,-79.7416919,3.0,14,1,pizza
935,Pp5m0W7nF_OIzA6EkXMEkA,"""Howard's Towing & Recovery""",Hazelwood,"""60 Irvine St""",Pittsburgh,PA,15207,40.4238274,-79.95156879999999,3.0,21,1,body shops
943,C2mqIEnUWeo1UOcW00nWtA,"""Station Brake Cafe""",,"""500 Station St""",Wilmerding,PA,15148,40.3934347,-79.8101522,4.0,15,1,bars
947,wcmwxLp53B21f_eZhzSF7g,"""Mount Washington""",Mt. Washington,"""""",Pittsburgh,PA,15211,40.433155434,-80.0172042847,4.5,63,1,local flavor
1014,F_8jMuQXDvCNbD0pbp68Wg,"""Verizon""",,"""3828 William Penn Hwy""",Monroeville,PA,15146,40.436272882800004,-79.7823983431,3.0,11,1,internet service providers
1047,ZElIifFslL_948I-hI_ukw,"""Zovko Bros""",South Side,"""2424 E Carson St""",Pittsburgh,PA,15203,40.427648,-79.970147,3.0,7,1,auto repair
1057,eHlpGh5LMjuuJeGAcbYn-Q,"""Dana M. Monahan, DDS, LLC""",Bloomfield,"""4760 Liberty Ave""",Pittsburgh,PA,15224,40.460845,-79.948054,4.0,4,1,health & medical
1064,nF5TXLMmC6IJgQxE9CEZPw,"""Sun Penang""",Squirrel Hill,"""5829 Forbes Ave""",Pittsburgh,PA,15217,40.4382561,-79.9218667,3.0,148,1,malaysian
1146,Fbycyr3KEjDQ4wO9AStmvQ,"""Cafe Sam""",Bloomfield,"""5242 Baum Blvd""",Pittsburgh,PA,15224,40.456227,-79.940241,4.0,70,1,american (new)
1182,ATwgU_Mn00KBcUJFt_YCuw,"""Wellness Associates""",,"""3322 Babcock Blvd""",Pittsburgh,PA,15237,40.5333593,-80.01843029999999,2.0,8,1,chiropractors
1195,j4jsgp-e315s11ehJfRzAA,"""The Carlton""",Downtown,"""500 Grant St""",Pittsburgh,PA,15219,40.4396782,-79.9959316,3.5,82,1,restaurants
1198,sWgi1O7nBNF7eAjwZBqBXw,"""EMCO Sprinkler Company""",,"""4091 Saltsburg Rd""",Murrysville,PA,15668,40.49087,-79.691767,2.5,3,1,shopping
1303,4l56EXyCWwPlPXcX9qq-jw,"""Dannys Pizza""",,"""5159 Library Rd""",Bethel Park,PA,15102,40.3352143,-80.0228755,4.0,61,1,restaurants
1325,QI0PGXbGkIdInOOBeq6ieQ,"""TJ Buffet Sushi and Grill""",,"""4801 McKnight Rd""",Pittsburgh,PA,15237,40.522650512800006,-80.00647980720001,3.0,36,1,japanese
1340,SR5HPi7niUHNUmVEYsEudw,"""Supercuts""",,"""1154 Freeport Rd, Fox Chapel""",Pittsburgh,PA,15238,40.487988,-79.878738,2.5,7,1,shopping
1351,q2WR76q5R2GvE_2gO0ZQZQ,"""Platinum Salon""",Lawrenceville,"""4731 Butler St""",Pittsburgh,PA,15201,40.4742945,-79.9577518,4.5,11,1,beauty & spas
1360,aEXVacFIyBb0b_XbxCuyIg,"""Dave's Towing""",Avalon,"""378 Spruce Run Rd""",Pittsburgh,PA,15202,40.5043928,-80.0708967,1.0,3,1,towing
1364,OohsWZ3A0bo8y6N6vi6ePA,"""Anthony's Pizza""",Carrick,"""1820 Brownsville Rd""",Pittsburgh,PA,15210,40.396531,-79.98791899999999,3.0,13,1,pizza
1377,FO2SNKF9I8mvTCAvbClJZQ,"""Pizza Palermo""",,"""109 Penn Plz""",Turtle Creek,PA,15145,40.405814899999996,-79.826451,1.0,4,1,restaurants
1382,bqW0f0RigwpYyz1lbxhHlw,"""Penn Brewery""",Troy Hill,"""800 Vinial St""",Pittsburgh,PA,15212,40.457141664299996,-79.9915010041,3.5,201,1,german
1401,CNs_8drkTel1FD64Q4UTyg,"""Esspa Kozmetika Organic Skincare""",Aspinwall,"""17 Brilliant Ave""",Pittsburgh,PA,15215,40.489415799999996,-79.9013198,3.0,21,1,beauty & spas
1466,sYneggodKLkckjBu_aH5Pw,"""Tina's Hair Designs""",,"""7051 Steubenville Pike, Ste I""",Oakdale,PA,15071,40.443259499999996,-80.1753005,2.5,3,1,hair salons
1482,zYzkwEGqHgLNrCE_rKhMDg,"""Nails By Karen""",,"""3194 Washington Rd""",McMurray,PA,15317,40.29123920000001,-80.10709890000001,4.5,7,1,beauty & spas
1487,-eocJ0ugt1rEDZj160Xhrg,"""Goldfish Swim School - Wexford""",,"""160 Lake Dr""",Wexford,PA,15090,40.617081400000004,-80.05337540000001,4.0,11,1,specialty schools
1495,MPjwZL8DHKCEbFw8LYiAIA,"""Subway""",Beechview,"""1343 W Liberty Ave""",Pittsburgh,PA,15226,40.4111876,-80.0125181,3.0,3,1,fast food
1515,s0HXXbiItSvVQBLvyckeRA,"""Dairy Queen""",South Side,"""1223 E Carson St""",Pittsburgh,PA,15203,40.4289659,-79.98547579999999,2.5,10,1,food
1559,MFaerBsWIA2du9kHGeKDeA,"""Europe Nails""",,"""100 Center St""",Pittsburgh,PA,15202,40.4527845804,-80.15747308729999,2.5,15,1,beauty & spas
1574,FIIIQplC7gkEW2kyRGSFxg,"""Madison's Bar and Grill""",,"""2750 Mosside Blvd""",Monroeville,PA,15146,40.437125200000004,-79.75514090000001,3.0,4,1,restaurants
1577,-7bvsSGKnY6O-JmSWc5V6g,"""Nine Stories""",Lawrenceville,"""5400 Butler St""",Pittsburgh,PA,15201,40.4829304602,-79.9509279054,4.5,10,1,books
1579,dwAtKEutQKgCvb7wSSU8Kw,"""Top Gear Bicycle Shop""",Shadyside,"""5996 Centre Ave, Ste 204""",Pittsburgh,PA,15206,40.4595929,-79.9253253,4.0,21,1,shopping
1595,rxpiO3CB5323XsBVzMB7nw,"""Kerber's Dairy""",,"""1856 Guffey Rd""",North Huntingdon,PA,15642,40.3101816,-79.7367545,4.0,18,1,food
1599,ODhngitoIH2g37TWtNaxpw,"""Art F X""",,"""3450 Babcock Blvd""",Pittsburgh,PA,15237,40.5412019981,-80.02571694550001,4.0,6,1,beauty & spas
1612,Go030M_vCtfNBTMCyZOTcw,"""Specialty Luggage""",Downtown,"""915 Liberty Ave""",Pittsburgh,PA,15222,40.443235831799996,-79.997539246,4.0,11,1,shopping
1644,OFT4gaCiwQFITpPLVtBvKQ,"""Pittsburgh Sweet Treats""",,"""800 Mt Royal Blvd""",Pittsburgh,PA,15223,40.5146089,-79.95884240000001,4.5,3,1,cupcakes
1745,eDY9g4_uMX_uMuUzWAFqfg,"""Today's Tiffany Home Decor And More""",,"""1500 Washington Rd, Ste 2802""",Pittsburgh,PA,15228,40.356959100000005,-80.0518073,2.5,3,1,lighting fixtures & equipment
1824,lANErA3v8e2VYzMvLzWN7w,"""Alco Parking - West General Robinson Street Garage""",North Side,"""668 W General Robinson St""",Pittsburgh,PA,15212,40.4476669,-80.0095963,4.0,4,1,automotive
1847,fMr9T_YnJ2k-mGo4a9aIQw,"""Alberta Modern Hair""",,"""733 Washington Rd, Ste 2""",Pittsburgh,PA,15228,40.379093100000006,-80.04488309999999,3.0,7,1,hair salons
1874,gEXjlzGE_-OIX4rFWGB4CA,"""Roto-Rooter Plumbing & Water Cleanup""",Knoxville,"""756 Brownsville Rd""",Pittsburgh,PA,15210,40.408462,-79.9915004,3.0,15,1,plumbing
1886,TjJdpI5XX2zwHmXQbnEWeQ,"""Gyros N'at""",,"""512 Braddock Ave""",Pittsburgh,PA,15104,40.4043052902,-79.8703792884,4.5,14,1,cafes
1899,63iOXcDVSr8Jm0C8mjzo6g,"""McDonald's""",Greentree,"""1 Poplar St""",Pittsburgh,PA,15205,40.4273917,-80.0533614,1.5,6,1,restaurants
2046,163fCdtWaQAWg1Z1281v7w,"""Foreign Fix""",,"""6112 Steubenville Pike""",Robinson Township,PA,15136,40.444605100000004,-80.1465283,4.0,4,1,auto repair
2055,X6Ld6HChDrQN_4X6V_7VQQ,"""Ham N Eggers Diner""",,"""1025 Lebanon Rd""",West Mifflin,PA,15122,40.3609502875,-79.93245,4.0,6,1,restaurants
2057,gCZAYkIcRjNYYRHQ9htpJQ,"""Bella Luna Trattoria""",,"""5060 William Penn Hwy""",Monroeville,PA,15146,40.4280734,-79.7060147,3.5,77,1,restaurants
2058,EUgHFeAvock2Ut3iWPlG8Q,"""Taco Bell""",,"""4032 William Penn Hwy""",Monroeville,PA,15146,40.4384319694,-79.7679416151,2.0,9,1,fast food
2065,kxXuthvJvKZ_mS5UA3JrLQ,"""Cala Lily Restaurant And Bar""",,"""500 Grandview Crossing, Ste 20""",Gibsonia,PA,15044,40.6430948791,-79.9394520745,4.0,32,1,american (new)
2081,F-xrInMjPTmOc_-a7_AH6A,"""JCPenney""",,"""500 Monroeville Mall""",Monroeville,PA,15146,40.42944,-79.795743,3.0,8,1,womens clothing
2155,lE68i-3i1UvIEO7mW2vbJA,"""Weinstein Imaging Associates""",,"""5500 Corporate Dr, Ste 100""",Pittsburgh,PA,15237,40.563836,-80.024215,3.5,3,1,diagnostic imaging
2178,j8INaXpsUvQVzU0nkTZF2g,"""Oakdale Inn""",,"""5200 Noblestown Rd""",Oakdale,PA,15071,40.398379999999996,-80.186573,3.0,4,1,karaoke
2179,HKExCPp1uxyQY1jlfYAhkA,"""The South Side BBQ Restaurant""",South Side,"""75 S 17th St""",Pittsburgh,PA,15203,40.4293613,-79.9817741,3.5,14,1,restaurants
2256,zOP3oRiUR6DP6o9mQ4JYGg,"""Bootleggers""",Oakland,"""403 Semple St""",Pittsburgh,PA,15213,40.4370186,-79.95484509999999,3.0,15,1,bars
2282,hC4GGbGfpp1xfH47fZDDiA,"""Stride Away Equestrian Center""",,"""101 Hohman Ln""",Pittsburgh,PA,15237,40.544666,-80.09563399999999,5.0,3,1,horseback riding
2339,8PketBhi3DllXR6hM2xsCw,"""Mellon Square""",Downtown,"""534 Smithfield St""",Pittsburgh,PA,15222,40.4410963,-79.99778719999999,4.0,5,1,parks
2354,7QhYLKgSuBur1SMgms_-wQ,"""Trinity Jewelers""",,"""647 Mount Nebo Rd""",Pittsburgh,PA,15237,40.543689,-80.08115459999999,5.0,4,1,shopping
2392,5ry-n1zoefQQHczi7nBC-w,"""Sassy's Nail Spa""",,"""284 S Hills Village""",Pittsburgh,PA,15241,40.3401354,-80.0548022,3.0,19,1,beauty & spas
2420,77N3luh2YzfJFJGFIfqqbw,"""Duke's Upper Deck Cafe""",Homestead,"""122 W 8th Ave""",Homestead,PA,15120,40.405311,-79.912595,3.5,50,1,american (new)
2421,fb5HMxDHxNI7tEcAOTgX3Q,"""Restoration Hardware""",,"""1500 Washington Rd""",Pittsburgh,PA,15228,40.357213,-80.05209509999999,3.5,7,1,shopping
2458,-ySaJC9irFPbJvEVPMe0sw,"""Alex and Ani Pittsburgh""",Shadyside,"""5505 Walnut St""",Pittsburgh,PA,15232,40.4514119921,-79.9336313456,3.5,12,1,jewelry
2471,_Tn9xzE06-7kDH2CzRg9YA,"""City of Bridges Cafe""",,"""1000 Airport Blvd""",Pittsburgh,PA,15231,40.4956799,-80.2562685,1.5,8,1,restaurants
2481,bpvv9BpcTlkLeMbYSQZDsw,"""SteamMasters""",West View,"""4535 Mcknight Rd""",Pittsburgh,PA,15229,40.5006447,-80.0121147,4.5,5,1,shopping
2485,BNeS_hZfmdQWsqewj-LuDA,"""Ting's Kitchen""",,"""3200 McIntyre Square Dr""",Pittsburgh,PA,15237,40.5531627166,-80.01551670180001,4.5,52,1,chinese
2489,KCjUVqd1wSuK1AK0RbWczg,"""Target""",Homestead,"""360 Waterfront Dr E""",Homestead,PA,15120,40.41211320000001,-79.9113203,3.5,25,1,department stores
2506,L11s10GOzc_0uL0VRtyugw,"""Rive Nail Skin Care Spa""",,"""4522 William Penn Hwy""",Murrysville,PA,15668,40.4258571,-79.67393840000001,5.0,4,1,hair removal
2508,7B-xM_3t9NKebmkEodw3CQ,"""Mr Hoagie""",,"""4734 Lebanon Church Rd""",Dravosburg,PA,15034,40.3543304,-79.90070920000001,3.5,11,1,fast food
2511,yV3ak7F2t3n8SO7QsvLgEA,"""Cinemark""",,"""600 Monroeville Mall""",Monroeville,PA,15146,40.4285963145,-79.7955038384,4.5,37,1,cinema
2524,wGUmlG8Vy2g1jMx6fKtIkg,"""Ribcage Bbq""",,"""87 Boat Club Rd""",Monongahela,PA,15063,40.1976287,-79.9020931,3.0,10,1,restaurants
2531,ib5h1C7xgmZN47HjfWXPCQ,"""Quilters Depot""",,"""4160 Library Rd""",Pittsburgh,PA,15234,40.356359399999995,-80.0287569,2.0,3,1,local services
2550,XP5xYARH0WB3eW_AmICbPA,"""Bram Cleaning & Tailoring""",Mt. Washington,"""120 1/2 Shiloh St""",Pittsburgh,PA,15211,40.431104600000005,-80.0073375,3.0,3,1,laundry services
2590,40RqHzPLHxDX53R0aTWcwQ,"""Greentree Animal Clinic""",,"""2080 Greentree Rd""",Pittsburgh,PA,15220,40.3922071,-80.0691338,4.0,14,1,veterinarians
2667,QqpzPFFHeHqyWSPZI-DkvQ,"""The Hangar""",,"""500 Flaugherty Run Rd""",Coraopolis,PA,15108,40.526622700000004,-80.2493988,3.5,26,1,music venues
2701,zJ-V2GZ9q7UkwYFl3G116w,"""Olive Garden Italian Restaurant""",,"""527 Clairton Blvd""",Pleasant Hills,PA,15236,40.333009000000004,-79.94570870000001,3.5,32,1,wine bars
2711,BpU9-wcOWyKcVtkvnfRazA,"""Wok & Grill""",Downtown,"""120 5th Ave""",Pittsburgh,PA,15222,40.441888,-80.003443,3.0,3,1,restaurants
2719,iKbtAQz2rUu99PgJvcx2Jg,"""Burgatory""",,"""100 Blue Spruce Way""",Murrysville,PA,15668,40.4278278251,-79.7010137947,4.0,113,1,bars
2760,1jKF78-6D8tpyimNTrMDVw,"""Michaels""",,"""3759 William Penn Hwy""",Monroeville,PA,15146,40.4377502,-79.7863668,2.5,4,1,knitting supplies
2766,dHiq1JliKgh_3z-KnTpCaA,"""Roxanne's Catering""",Bloomfield,"""4124 Main St""",Pittsburgh,PA,15224,40.46494860000001,-79.9544552,4.0,3,1,restaurants
2767,vGQxPGvI4QLtupSAxO8c7Q,"""Bantha Tea Bar""",Bloomfield,"""5002 Penn Ave""",Pittsburgh,PA,15224,40.464887,-79.94394399999999,4.5,18,1,tea rooms
2779,8EZZKsZ9Iuwz7Lem9NfN_w,"""Goodyear Auto Service Center""",,"""678 Mall Circle Dr""",Monroeville,PA,15146,40.4299398393,-79.7906729579,2.0,4,1,auto repair
2848,KNpcPGqDORDdvtekXd348w,"""Carriage Inn Restaurant and Catering""",,"""1601 Lovedale Rd""",Elizabeth,PA,15037,40.285064,-79.84239040000001,3.5,16,1,caterers
2850,VtxiIv-VIOp3NIpE5tQQIw,"""Getgo""",South Side,"""3059 E Carson St""",Pittsburgh,PA,15203,40.4230927735,-79.9601144217,3.5,10,1,food
2857,bAHDSbpJE3kKJkW9OBgOyw,"""Bellisario's Auto Body""",Oakland,"""3750 Childs St""",Pittsburgh,PA,15213,40.4291505,-79.9516152,4.5,25,1,automotive
2860,82_4u3Toy7vB8imnJ-cCnQ,"""Super 8 Pittsburgh/Monroeville""",,"""1807 Golden Mile Hwy-Route 286""",Pittsburgh,PA,15239,40.446474136,-79.715373561,2.5,6,1,event planning & services
2864,Ql8pMRlsFKNr-bqMItpj5Q,"""European Wax Center""",,"""4080 Washington Rd.""",McMurray,PA,15317,40.2659881,-80.1299578,4.5,24,1,skin care
2907,9GA2gmLV4NX2oJkuz6fdcA,"""Garage Door Saloon""",Oakland,"""223 Atwood St""",Pittsburgh,PA,15213,40.4407028,-79.95679009999999,3.0,33,1,sports bars
2917,wht5FaGi7r86WKW7-VX2lQ,"""Today's Market""",,"""612 Allegheny River Blvd""",Oakmont,PA,15139,40.5194495,-79.8422971,5.0,4,1,food
2922,2wGXR2aHOCNJpV4pWU5Zxg,"""Fitzy's Putt-N-Go""",,"""2072 Greentree Rd""",Pittsburgh,PA,15220,40.3935297,-80.0658378,2.0,8,1,mini golf
2926,_PKa6Dj06Q2AHKGkpJ7GnA,"""Z-Best BBQ""",The Hill District,"""1315 5th Ave""",Pittsburgh,PA,15219,40.4388749,-79.98756230000001,4.5,28,1,barbeque
3020,sirrm86qpDQeTM8JmA9mAQ,"""Finleyville Flower Shoppe""",,"""3510 Washington Ave""",Finleyville,PA,15332,40.2517787,-80.00514090000001,3.0,4,1,flowers & gifts
3035,fIVRnppEVSPK4ZRAXdk9IQ,"""iLoveKickboxing.com""",,"""5001 Curry Rd""",Pittsburgh,PA,15236,40.3498421248,-79.99423790670001,5.0,6,1,fitness & instruction
3037,nG9wrA0F8uX7feyZkticww,"""Amazing Books & Records""",Downtown,"""929 Liberty Ave""",Pittsburgh,PA,15222,40.4434256,-79.99697370000001,4.0,13,1,books
3070,h2x_7s0WvgRUpyuKoYDSdg,"""Bend the Bridge Yoga""",,"""3249 Washington Pike, Ste 1001""",Bridgeville,PA,15017,40.3406094,-80.1198224,5.0,3,1,fitness & instruction
3102,icco2swWSWYyItdI_ktyvg,"""Fox's Pizza Den""",,"""2374 Golden Mile Hwy""",Plum,PA,15239,40.4631736505,-79.7046889953,4.0,4,1,pizza
3120,HNbX93hyrua2p6LO4IwdHA,"""Taco Bell""",,"""1690 Cochran Rd""",Pittsburgh,PA,15220,40.391242999999996,-80.060459,2.0,13,1,fast food
3129,sz6_gKcHjtcpWKIZLXV85w,"""Or, The Whale""",Downtown,"""463 Blvd of the Allies""",Pittsburgh,PA,15219,40.437298999999996,-79.9984685,4.0,61,1,breakfast & brunch
3133,yZ_wpRr4Svw8YRZ9voCgIw,"""The Vandal""",Lawrenceville,"""4306 Butler St""",Pittsburgh,PA,15201,40.4707671,-79.9599462,4.0,148,1,american (new)
3181,YZItTPlVWeq13bfAJtT2-g,"""China House II""",,"""7400 Church St""",Swissvale,PA,15218,40.422307,-79.88932170000001,3.0,7,1,chinese
3182,LQFmktF43j2NPncKdNd9mg,"""Fat Heads Saloon""",South Side,"""1805 E Carson St""",Pittsburgh,PA,15203,40.428966700000004,-79.9801756,4.0,657,1,restaurants
3194,CzA6ThquEWOXgVjkYeY1JA,"""Kathmandu Artifacts""",Bloomfield,"""4625 Liberty Ave""",Pittsburgh,PA,15224,40.462452,-79.94990899999999,5.0,5,1,accessories
3226,PLxIkb7MLT8_ctte_exunw,"""Vca Duncan Manor Animal Hospital""",,"""1720 Ferguson Rd""",Allison Park,PA,15101,40.565138399999995,-79.9977484,3.0,4,1,pets
3236,2UCXCbv7qaO3d8FfQd4Ing,"""Pizza Bellino""",Squirrel Hill,"""5839 Forbes Ave""",Pittsburgh,PA,15217,40.4382114,-79.92136740000001,3.0,62,1,salad
3256,9_1N2SoNoS3DGV9V-4kndw,"""Craftwork Kitchen""",Downtown,"""600 Grant St""",Pittsburgh,PA,15219,40.441355,-79.994853,4.0,23,1,food court
3275,l_pR3x7v2mvE3luVdmGuoQ,"""Orient Kitchen""",Bloomfield,"""4808 Baum Blvd""",Pittsburgh,PA,15213,40.4541975,-79.94710500000001,3.0,60,1,sushi bars
3290,p1xzg2pll2qC84K3OmLIlw,"""Quest Diagnostics""",,"""4225 Brownsville Rd""",Pittsburgh,PA,15227,40.363862,-79.983698,1.0,3,1,laboratory testing
3314,xwEYTGJ_82ScbpXcheqqQw,"""Subway""",,"""2020 Ardmore Blvd, Ste 170""",Pittsburgh,PA,15221,40.421261,-79.854177,3.5,4,1,fast food
3332,tu8u4SnLvW3mcTS_aRdQ_w,"""US Post Office""",Bellevue,"""15 N Sprague Ave""",Pittsburgh,PA,15202,40.4969589094,-80.0571530672,2.5,3,1,local services
3338,WKlMFUCGI7dCysGkFLWvaQ,"""Stagioni""",South Side,"""2104 E Carson St""",Pittsburgh,PA,15203,40.4282783,-79.9760041,4.0,108,1,nightlife
3393,zhPSu9zUD7FTGtCLyVPlaw,"""Charlie's Ice Cream""",,"""4376 Old William Penn Hwy""",Monroeville,PA,15146,40.443434100000005,-79.7688637,3.5,7,1,ice cream & frozen yogurt
3406,eooGGpXNczzi60QA1635GA,"""L.A. Studio Nail & Spa""",,"""6519 Robinson Centre Dr""",Pittsburgh,PA,15205,40.4559335,-80.1611745,2.5,11,1,beauty & spas
